channel,temperature,mean,std deviation
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
5,30,30.1
6,20,20.06
6,20,20.06
6,20,20.06
6,20,20.06
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.07
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.08
6,20,20.09
6,20,20.09
6,20,20.09
6,20,20.09
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.09
6,20,20.09
6,20,20.09
6,20,20.09
6,20,20.09
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,20,20.1
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.15
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.14
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.12
6,25,25.12
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.13
6,25,25.12
6,25,25.12
6,25,25.12
6,25,25.12
6,25,25.12
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,25,25.11
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.13
6,30,30.13
6,30,30.14
6,30,30.14
6,30,30.14
6,30,30.13
6,30,30.13
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.12
6,30,30.12
6,30,30.12
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
6,30,30.13
7,20,20.03
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.04
7,20,20.06
7,20,20.06
7,20,20.05
7,20,20.05
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.06
7,20,20.07
7,20,20.07
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.08
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,20,20.07
7,25,25.13
7,25,25.13
7,25,25.13
7,25,25.13
7,25,25.13
7,25,25.13
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.12
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.1
7,25,25.1
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.11
7,25,25.1
7,25,25.1
7,25,25.1
7,25,25.09
7,25,25.09
7,25,25.09
7,25,25.09
7,25,25.09
7,25,25.1
7,25,25.1
7,30,30.15
7,30,30.15
7,30,30.15
7,30,30.15
7,30,30.13
7,30,30.13
7,30,30.13
7,30,30.13
